objectid,parentid,object_location,title,item_type,date,owner_firstname,manufacturer,vendor,description,items_available,subject,location,format,display_template,image_small,image_thumb
sl0015,rd0015,https://i.ibb.co/nMGbNk6s/sl0015-ae-2026-04-11.jpg,Goose seal,StillImage,,Anneliese,,,,,,,image/jpeg,image,/objects/small/sl0015_ae_2026-04-11_sm.jpg,/objects/thumbs/sl0015_ae_2026-04-11_th.jpg
st0015,rd0015,https://i.ibb.co/Df7mztYL/st0015-ae-2026-03-27.jpg,Goose stamp,StillImage,,Anneliese,Made of Honour,Made of Honour,,,,AE_house,image/jpeg,image,/objects/small/st0015_ae_2026-03-27_sm.jpg,/objects/thumbs/st0015_ae_2026-03-27_th.jpg
rd0016,,,Jellyfish,record,,Anneliese,VintageSealCo,Etsy,,1,jellyfishes,,image/jpeg,multiple,/objects/small/sl0016_ae_2026-04-11_sm.jpg,/objects/thumbs/sl0016_ae_2026-04-11_th.jpg
sl0016,rd0016,https://i.ibb.co/nN0ZxVRH/sl0016-ae-2026-04-11.jpg,Jellyfish seal,StillImage,,Anneliese,,,,,,,image/jpeg,image,/objects/small/sl0016_ae_2026-04-11_sm.jpg,/objects/thumbs/sl0016_ae_2026-04-11_th.jpg
st0016,rd0016,https://i.ibb.co/G43GsM4v/st0016-ae-2026-03-27.jpg,Jellyfish stamp,StillImage,,Anneliese,VintageSealCo,Etsy,,,,AE_house,image/jpeg,image,/objects/small/st0016_ae_2026-03-27_sm.jpg,/objects/thumbs/st0016_ae_2026-03-27_th.jpg
rd0017,,,Owl,record,,Anneliese,Made of Honour,Made of Honour,,1,owls,,image/jpeg,multiple,/objects/small/sl0017_ae_2026-04-11_sm.jpg,/objects/thumbs/sl0017_ae_2026-04-11_th.jpg
sl0017,rd0017,https://i.ibb.co/Fk2B5pm2/sl0017-ae-2026-04-11.jpg,Owl seal,StillImage,,Anneliese,,,,,,,image/jpeg,image,/objects/small/sl0017_ae_2026-04-11_sm.jpg,/objects/thumbs/sl0017_ae_2026-04-11_th.jpg
st0017,rd0017,https://i.ibb.co/3YCzT96h/st0017-ae-2026-03-27.jpg,Owl stamp,StillImage,,Anneliese,Made of Honour,Made of Honour,,,,AE_house,image/jpeg,image,/objects/small/st0017_ae_2026-03-27_sm.jpg,/objects/thumbs/st0017_ae_2026-03-27_th.jpg
rd0018,,,Paws,record,,Anneliese,Livelifeandworld ,Etsy,,1,paw prints,,image/jpeg,multiple,/objects/small/sl0018_ae_2026-04-11_sm.jpg,/objects/thumbs/sl0018_ae_2026-04-11_th.jpg
sl0018,rd0018,https://i.ibb.co/S7vsBqGp/sl0018-ae-2026-04-11.jpg,Paws seal,StillImage,,Anneliese,,,,,,,image/jpeg,image,/objects/small/sl0018_ae_2026-04-11_sm.jpg,/objects/thumbs/sl0018_ae_2026-04-11_th.jpg
st0018,rd0018,https://i.ibb.co/RG6fwXG0/st0018-ae-2026-03-27.jpg,Paws stamp,StillImage,,Anneliese,Livelifeandworld ,Etsy,,,,AE_house,image/jpeg,image,/objects/small/st0018_ae_2026-03-27_sm.jpg,/objects/thumbs/st0018_ae_2026-03-27_th.jpg
rd0019,,,Readme [custom],record,2026,Anneliese;Antonio,Artisaire,Artisaire,A custom stamp designed by Antonio to use in thank-you cards for Love Data Week 2026.,2,icons (script and type signs);custom designs,,image/jpeg,multiple,/objects/small/sl0019_ae_2026-04-11_sm.jpg,/objects/thumbs/sl0019_ae_2026-04-11_th.jpg
sl0019,rd0019,https://i.ibb.co/Mx2hXbrR/sl0019-ae-2026-04-11.jpg,Readme [custom] seal (Anneliese),StillImage,,Anneliese,,,,,,,image/jpeg,image,/objects/small/sl0019_ae_2026-04-11_sm.jpg,/objects/thumbs/sl0019_ae_2026-04-11_th.jpg
st0019,rd0019,https://i.ibb.co/DDzfBrVS/st0019-ae-2026-03-27.jpg,Readme [custom] stamp (Anneliese),StillImage,2026,Anneliese,Artisaire,Artisaire,,,,AE_house,image/jpeg,image,/objects/small/st0019_ae_2026-03-27_sm.jpg,/objects/thumbs/st0019_ae_2026-03-27_th.jpg
sl0019b,rd0019,https://i.ibb.co/0VdhQtyb/sl0019b-ramg-2026-05-14.jpg,Readme [custom] seal (Antonio),StillImage,,Antonio,,,,,,,image/jpeg,image,/objects/small/sl0019b_ramg_2026-05-14_sm.jpg,/objects/thumbs/sl0019b_ramg_2026-05-14_th.jpg
st0019b,rd0019,https://i.ibb.co/RpDnW1Wx/st0019b-ramg-2026-04-12.jpg,Readme [custom] stamp (Antonio),StillImage,2026,Antonio,Artisaire,Artisaire,,,,AMG_house,image/jpeg,image,/objects/small/st0019b_ramg_2026-04-12_sm.jpg,/objects/thumbs/st0019b_ramg_2026-04-12_th.jpg
rd0020,,,English rose,record,,Anneliese,Made of Honour,Made of Honour,,1,flowers;English roses,,image/jpeg,multiple,/objects/small/sl0020_ae_2026-04-11_sm.jpg,/objects/thumbs/sl0020_ae_2026-04-11_th.jpg
sl0020,rd0020,https://i.ibb.co/4Z38m76R/sl0020-ae-2026-04-11.jpg,English rose seal,StillImage,,Anneliese,,,,,,,image/jpeg,image,/objects/small/sl0020_ae_2026-04-11_sm.jpg,/objects/thumbs/sl0020_ae_2026-04-11_th.jpg
